0,labname,aclew_id,Annotations,age_mo_round,age,age_exact,child_sex,language,corpus_narrow,corpus
926,TSE,1338,,7,7,N,F,Spanish_Tseltal,CasillasTseltal,CasillasTseltal
927,TSE,59,,38,38,N,M,Spanish_Tseltal,CasillasTseltal,CasillasTseltal
930,TSE,3591,,10,10,N,F,Tseltal,CasillasTseltal,CasillasTseltal
6,TSE,7326,"RAND, HV",14,14m;10d,Y,M,Tseltal,CasillasTseltal,CasillasTseltal
928,TSE,7273,,9,9,N,M,Tseltal,CasillasTseltal,CasillasTseltal
929,TSE,7290,,31,31,N,F,Tseltal,CasillasTseltal,CasillasTseltal
2,TSE,7176,"RAND, HV",4,03m;18d,Y,M,Tseltal,CasillasTseltal,CasillasTseltal
931,TSE,8747,,31,31,N,F,Tseltal,CasillasTseltal,CasillasTseltal
932,TSE,909,,11,11,N,F,Tseltal,CasillasTseltal,CasillasTseltal
933,TSE,5458,,25,25,N,F,Tseltal,CasillasTseltal,CasillasTseltal
3,TSE,8179,"RAND, HV",6,05m;29d,Y,F,Tseltal,CasillasTseltal,CasillasTseltal
934,TSE,9592,,19,19,N,F,Tseltal,CasillasTseltal,CasillasTseltal
935,TSE,8613,,38,38,N,M,Tseltal,CasillasTseltal,CasillasTseltal
936,TSE,7759,,34,34,N,M,Tseltal,CasillasTseltal,CasillasTseltal
937,TSE,4243,,34,34,N,M,Tseltal,CasillasTseltal,CasillasTseltal
938,TSE,1188,,7,7,N,F,Tseltal,CasillasTseltal,CasillasTseltal
939,TSE,2512,,27,27,N,M,Tseltal,CasillasTseltal,CasillasTseltal
7,TSE,7220,"RAND, HV",22,22m;03d,Y,F,Tseltal,CasillasTseltal,CasillasTseltal
940,TSE,6333,,22,22,N,M,Tseltal,CasillasTseltal,CasillasTseltal
941,TSE,7021,,45,45,N,M,Tseltal,CasillasTseltal,CasillasTseltal
942,TSE,6291,,2,2,N,M,Tseltal,CasillasTseltal,CasillasTseltal
943,TSE,2526,,22,22,N,F,Tseltal,CasillasTseltal,CasillasTseltal
944,TSE,1126,,45,45,N,F,Tseltal,CasillasTseltal,CasillasTseltal
4,TSE,2109,"RAND, HV",7,07m;15d,Y,F,Tseltal,CasillasTseltal,CasillasTseltal
946,TSE,8379,,2,2,N,M,Tseltal,CasillasTseltal,CasillasTseltal
8,TSE,6216,"RAND, HV",27,26m;25d,Y,F,Tseltal,CasillasTseltal,CasillasTseltal
947,TSE,3124,,2,2,N,F,Tseltal,CasillasTseltal,CasillasTseltal
948,TSE,5100,,39,39,N,M,Tseltal,CasillasTseltal,CasillasTseltal
949,TSE,7108,,24,24,N,F,Tseltal,CasillasTseltal,CasillasTseltal
950,TSE,684,,13,13,N,M,Tseltal,CasillasTseltal,CasillasTseltal
951,TSE,456,,7,7,N,M,Tseltal,CasillasTseltal,CasillasTseltal
952,TSE,4935,,6,6,N,M,Tseltal,CasillasTseltal,CasillasTseltal
953,TSE,3842,,41,41,N,M,Tseltal,CasillasTseltal,CasillasTseltal
954,TSE,57,,46,46,N,F,Tseltal,CasillasTseltal,CasillasTseltal
955,TSE,7439,,9,9,N,M,Tseltal,CasillasTseltal,CasillasTseltal
956,TSE,6028,,16,16,N,F,Tseltal,CasillasTseltal,CasillasTseltal
957,TSE,9663,,47,47,N,F,Tseltal,CasillasTseltal,CasillasTseltal
958,TSE,3214,,8,8,N,M,Tseltal,CasillasTseltal,CasillasTseltal
5,TSE,8787,"RAND, HV",11,10m;21d,Y,M,Tseltal,CasillasTseltal,CasillasTseltal
959,TSE,9950,,29,29,N,F,Tseltal,CasillasTseltal,CasillasTseltal
960,TSE,484,,38,38,N,M,Tseltal,CasillasTseltal,CasillasTseltal
961,TSE,6964,,5,5,N,F,Tseltal,CasillasTseltal,CasillasTseltal
962,TSE,5629,,52,52,N,F,Tseltal,CasillasTseltal,CasillasTseltal
963,TSE,6107,,6,6,N,M,Tseltal,CasillasTseltal,CasillasTseltal
964,TSE,9415,,13,13,N,M,Tseltal,CasillasTseltal,CasillasTseltal
965,TSE,5147,,17,17,N,F,Tseltal,CasillasTseltal,CasillasTseltal
966,TSE,1991,,6,6,N,F,Tseltal,CasillasTseltal,CasillasTseltal
9,TSE,2625,"RAND, HV",32,32m;05d,Y,F,Tseltal,CasillasTseltal,CasillasTseltal
967,TSE,2585,,31,31,N,F,Tseltal,CasillasTseltal,CasillasTseltal
968,TSE,6795,,34,34,N,F,Tseltal,CasillasTseltal,CasillasTseltal
1,TSE,643,"RAND, HV",2,01m;25d,Y,M,Tseltal,CasillasTseltal,CasillasTseltal
969,TSE,2638,,36,36,N,F,Tseltal,CasillasTseltal,CasillasTseltal
970,TSE,1706,,26,26,N,F,Tseltal,CasillasTseltal,CasillasTseltal
971,TSE,628,,4,4,N,M,Tseltal,CasillasTseltal,CasillasTseltal
972,TSE,130,,4,4,N,F,Tseltal,CasillasTseltal,CasillasTseltal
10,TSE,3026,"RAND, HV",36,36m;02d,Y,M,Tseltal,CasillasTseltal,CasillasTseltal
916,YEL,8427,"RAND, HV",1,01m;09d,Y,F,Yélî Dnye,CasillasYeli,CasillasYeli
917,YEL,3729,"RAND, HV",4,03m;19d,Y,M,Yélî Dnye,CasillasYeli,CasillasYeli
918,YEL,9732,"RAND, HV",4,04m;13d,Y,M,Yélî Dnye,CasillasYeli,CasillasYeli
919,YEL,1143,"RAND, HV",8,07m;18d,Y,M,Yélî Dnye,CasillasYeli,CasillasYeli
920,YEL,8018,"RAND, HV",9,09m;03d,Y,F,Yélî Dnye,CasillasYeli,CasillasYeli
921,YEL,2977,"RAND, HV",13,12m;29d,Y,F,Yélî Dnye,CasillasYeli,CasillasYeli
922,YEL,6934,"RAND, HV",17,16m;29d,Y,M,Yélî Dnye,CasillasYeli,CasillasYeli
923,YEL,4569,"RAND, HV",20,20m;03d,Y,F,Yélî Dnye,CasillasYeli,CasillasYeli
924,YEL,3956,"RAND, HV",26,25m;22d,Y,F,English_Goodenough_Misima_Yélî Dnye,CasillasYeli,CasillasYeli
925,YEL,5019,"RAND, HV",36,35m;29d,Y,M,Yélî Dnye,CasillasYeli,CasillasYeli
973,YEL,7381,,0,0,N,F,Yélî Dnye,CasillasYeli,CasillasYeli
974,YEL,9086,,22,22,N,F,Yélî Dnye,CasillasYeli,CasillasYeli
975,YEL,4378,,48,48,N,F,Yélî Dnye,CasillasYeli,CasillasYeli
