"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","vcm@CHI","xds@FA1","FA1","mwu@CHI","File"
1515.241,1515.91,0.669,,"A","&=laughs.",,"8179.eaf"
1517.947,1518.23,0.283,,"A","jae?",,"8179.eaf"
1519.094,1520.119,1.025,,"A","&=laughs.",,"8179.eaf"
1520.405,1520.838,0.433,,"A","&=laughs.",,"8179.eaf"
1520.838,1521.115,0.277,"N","A","&=laughs.",,"8179.eaf"
1521.115,1521.169,0.054,,"A","&=laughs.",,"8179.eaf"
1522.589,1522.975,0.386,,"A","&=laughs.",,"8179.eaf"
1524.485,1525.845,1.36,,"A","&=laughs.",,"8179.eaf"
1569.366,1569.909,0.543,,"C","yale-.",,"8179.eaf"
1571.177,1574.501,3.324,,"C","ja'me ya stsakulabeltal yayilulabe sit.",,"8179.eaf"
1647.548,1648.191,0.643,,"A","aa ich' a.",,"8179.eaf"
1664.981,1668.487,3.506,,"A","yu' ma'yunuk jicha <xjulinani@s:tso> [: xjuliyani@s:tse] <jicha@s:tso xtalulet@s:tso> [: jichla@s:tse joyob@s:tse ya@s:tse xtal@s:tse].",,"8179.eaf"
1671.535,1672.428,0.893,,"A","oo.",,"8179.eaf"
1673.534,1675.323,1.789,,"A","jicha kichtik ilulael a?",,"8179.eaf"
1678.068,1679.486,1.418,,"A","me' mala k'antikixae.",,"8179.eaf"
1685.081,1685.945,0.864,,"A","mm.",,"8179.eaf"
1689.14,1691.571,2.431,,"A","aa ja'to- to- ma ba- ja'to te ya stojotik a.",,"8179.eaf"
1692.313,1692.887,0.574,,"A","aa.",,"8179.eaf"
1693.472,1693.899,0.427,,"A","mm.",,"8179.eaf"
1694.542,1694.97,0.428,,"A","ju'uk.",,"8179.eaf"
1695.497,1697.265,1.768,,"A","pero@s:spa ta lunes@s:spa ya xbatik i.",,"8179.eaf"
1698.2,1698.969,0.769,,"A","ta lunes a xbatik.",,"8179.eaf"
1703.279,1704.087,0.808,,"A","mm.",,"8179.eaf"
1706.974,1707.944,0.97,,"A","mm.",,"8179.eaf"
1710.675,1712.3,1.625,,"A","maja xbatiki bi.",,"8179.eaf"
1714.502,1716.456,1.954,,"A","pe- majme' tal <kichtikilel ye i> [=! laughs].",,"8179.eaf"
1717.133,1718.681,1.548,,"A","yyy yu' ja' jma la jtatike'.",,"8179.eaf"
1722.005,1722.505,0.5,,"A","binti?",,"8179.eaf"
1766.992,1767.822,0.83,,"A","&=laughs.",,"8179.eaf"
1771.151,1771.942,0.791,,"A","binti ya pas xkal?",,"8179.eaf"
1774.094,1774.576,0.482,,"A","binti la?",,"8179.eaf"
1775.545,1775.895,0.35,,"A","joo.",,"8179.eaf"
1783.525,1784.742,1.217,,"A","binti laya sap?",,"8179.eaf"
1785.647,1786.747,1.1,,"A","<ochawa'el@s:tso> [: ochanbel@s:tse] te ta ajk'ol.",,"8179.eaf"
1794.371,1795.613,1.242,,"A","mm.",,"8179.eaf"
1800.744,1801.872,1.128,,"A","ints'i ila.",,"8179.eaf"
1805.685,1807.46,1.775,,"A","ya ayxan yyy.",,"8179.eaf"
1807.677,1808.64,0.963,,"A","nita i.",,"8179.eaf"
2326.002,2326.648,0.646,,"A","ma jk'an.",,"8179.eaf"
2327.754,2328.232,0.478,,"A","ju'uk.",,"8179.eaf"
2329.387,2330.645,1.258,,"A","ju'uk ma'yuk ya jk'an.",,"8179.eaf"
2330.973,2331.525,0.552,,"U","yyy.",,"8179.eaf"
2332.751,2334.849,2.098,,"A","aa la slo'ikix ja' ts'i ja'at eki?",,"8179.eaf"
2337.651,2338.331,0.68,,"A","&=laughs.",,"8179.eaf"
2339.137,2339.904,0.767,,"T","xwayat?",,"8179.eaf"
2340.428,2341.324,0.896,"N",,,,"8179.eaf"
2342.439,2343.388,0.949,,"U","yyy.",,"8179.eaf"
2344.124,2344.934,0.81,,"A","&=laughs.",,"8179.eaf"
2346.117,2346.497,0.38,,"A","jmm.",,"8179.eaf"
2347.225,2348.159,0.934,,"A","jmm.",,"8179.eaf"
2349.025,2349.724,0.699,,"U","yyy.",,"8179.eaf"
2351.825,2352.22,0.395,,"A","aa.",,"8179.eaf"
2352.59,2353.709,1.119,,"A","&=laughs.",,"8179.eaf"
2356.921,2358.339,1.418,,"A","<yyy> [=! laughs].",,"8179.eaf"
2359.83,2361.2,1.37,"N",,,,"8179.eaf"
2361.357,2362.036,0.679,,"A","jmm.",,"8179.eaf"
2362.559,2363.623,1.064,,"A","jayeb la tojik ek imen?",,"8179.eaf"
2364.717,2365.533,0.816,,"A","mm.",,"8179.eaf"
2382.22,2383.779,1.559,,"U","ja'i ka bujts'ani la jtai.",,"8179.eaf"
2410.119,2410.99,0.871,,"A","ma xkil.",,"8179.eaf"
2418.599,2419.399,0.8,,"A","<xa'k'anik@s:tso> [: ya k'anikl@s:tse].",,"8179.eaf"
2420.798,2421.487,0.689,,"U","yyy.",,"8179.eaf"
2423.84,2424.769,0.929,,"A","lajina <o@s:tso> [: il@s:tse].",,"8179.eaf"
2427.5,2428.049,0.549,,"A","<bit'il ay> [: bit'il ai]?",,"8179.eaf"
2430.873,2431.849,0.976,,"A","&=laughs.",,"8179.eaf"
2432.485,2432.852,0.367,,"T","&=kisses.",,"8179.eaf"
2463.446,2463.782,0.336,,"A","mm.",,"8179.eaf"
2477.482,2478.833,1.351,,"A","ala chuy.",,"8179.eaf"
2479.04,2480.19,1.15,,"A","ala tebxix.",,"8179.eaf"
2481.247,2482.92,1.673,,"A","mala snuk' xchu alal yabenix.",,"8179.eaf"
2483.631,2484.038,0.407,,"U","yyy.",,"8179.eaf"
2484.494,2485.504,1.01,,"U","yyy.",,"8179.eaf"
2505.218,2506.339,1.121,,"A","ay te jabon@s:spa ma'yuk?",,"8179.eaf"
2506.536,2506.844,0.308,,"A","jmm.",,"8179.eaf"
2515.105,2515.407,0.302,,"A","jmm.",,"8179.eaf"
2535.839,2537.532,1.693,,"A","mach'a xkali sujtbel ch'i?",,"8179.eaf"
2537.596,2538.587,0.991,,"A","ma'yuk chikan?",,"8179.eaf"
2538.642,2539.522,0.88,,"A","banti bajt i ch'i?",,"8179.eaf"
2540.269,2541.37,1.101,,"A","a li' ayix ch'i.",,"8179.eaf"
2557.775,2558.28,0.505,,"U","aa.",,"8179.eaf"
2573.886,2574.889,1.003,,"U","yyy.",,"8179.eaf"
2575.613,2576.678,1.065,,"U","yyy.",,"8179.eaf"
2613.356,2614.89,1.534,,"A","binti ya apas ch'i?",,"8179.eaf"
6574.256,6574.397,0.141,"N",,,,"8179.eaf"
6587.948,6588.264,0.316,"N",,,,"8179.eaf"
6613.673,6614.746,1.073,,"C","yyy xilele.",,"8179.eaf"
6680.98,6681.343,0.363,"N",,,,"8179.eaf"
6687.312,6695.659,8.347,"Y",,,,"8179.eaf"
8938.53,8938.866,0.336,"N",,,,"8179.eaf"
8939.19,8939.863,0.673,"N",,,,"8179.eaf"
8940.5,8940.866,0.366,"N",,,,"8179.eaf"
8940.95,8943.4,2.45,"N",,,,"8179.eaf"
8944.38,8946.196,1.816,"N",,,,"8179.eaf"
8958.24,8958.801,0.561,"N",,,,"8179.eaf"
8960.278,8960.417,0.139,"N",,,,"8179.eaf"
8960.73,8960.909,0.179,"N",,,,"8179.eaf"
8961.415,8961.991,0.576,"Y",,,,"8179.eaf"
8962.63,8963.91,1.28,"Y",,,,"8179.eaf"
8963.91,8964.449,0.539,"Y","A","yu' k'ux xch'ujt.",,"8179.eaf"
8964.449,8964.67,0.221,,"A","yu' k'ux xch'ujt.",,"8179.eaf"
8964.67,8965.093,0.423,"N","A","yu' k'ux xch'ujt.",,"8179.eaf"
8965.093,8965.406,0.313,,"A","yu' k'ux xch'ujt.",,"8179.eaf"
8965.406,8965.82,0.414,"N","A","yu' k'ux xch'ujt.",,"8179.eaf"
8965.82,8966.312,0.492,"N",,,,"8179.eaf"
8968.49,8970.65,2.16,,"A","yyy cha'pasel.",,"8179.eaf"
8976.736,8977.031,0.295,"N",,,,"8179.eaf"
8979.3,8979.611,0.311,"C",,,,"8179.eaf"
8980.52,8980.903,0.383,"N",,,,"8179.eaf"
8984.017,8984.34,0.323,"N",,,,"8179.eaf"
8993.383,8993.642,0.259,"N",,,,"8179.eaf"
10277.485,10278.241,0.756,"N",,,,"8179.eaf"
10283.059,10283.312,0.253,"N",,,,"8179.eaf"
10285.14,10286.199,1.059,"N",,,,"8179.eaf"
10287.787,10288.13,0.343,"N",,,,"8179.eaf"
10288.457,10289.051,0.594,"N",,,,"8179.eaf"
10290.355,10290.994,0.639,"N",,,,"8179.eaf"
10291.69,10292.068,0.378,"N",,,,"8179.eaf"
10301.224,10301.551,0.327,"N",,,,"8179.eaf"
10304.517,10305.326,0.809,"N",,,,"8179.eaf"
10307.795,10308.835,1.04,"N",,,,"8179.eaf"
10309.358,10310.343,0.985,"N",,,,"8179.eaf"
10312.022,10313.724,1.702,"N",,,,"8179.eaf"
10315.298,10316.133,0.835,"N",,,,"8179.eaf"
10316.645,10316.932,0.287,"N",,,,"8179.eaf"
10321.977,10322.68,0.703,"N",,,,"8179.eaf"
10324.491,10325.585,1.094,"N",,,,"8179.eaf"
10326.588,10327.613,1.025,"C",,,,"8179.eaf"
10330.068,10330.25,0.182,"N",,,,"8179.eaf"
10331.608,10332.73,1.122,"N",,,,"8179.eaf"
10334.397,10335.418,1.021,"N",,,,"8179.eaf"
10336.329,10337.0,0.671,"N",,,,"8179.eaf"
10337.0,10337.809,0.809,"N",,,,"8179.eaf"
10339.548,10341.253,1.705,"N",,,,"8179.eaf"
10342.557,10343.352,0.795,"N",,,,"8179.eaf"
10343.701,10344.156,0.455,"N",,,,"8179.eaf"
10344.46,10346.065,1.605,"N",,,,"8179.eaf"
10348.105,10348.545,0.44,"N",,,,"8179.eaf"
10348.951,10349.247,0.296,"N",,,,"8179.eaf"
10349.596,10350.15,0.554,"N",,,,"8179.eaf"
10350.781,10351.207,0.426,"N",,,,"8179.eaf"
10351.48,10351.713,0.233,"N",,,,"8179.eaf"
10352.67,10352.869,0.199,"N",,,,"8179.eaf"
10353.318,10353.63,0.312,"N",,,,"8179.eaf"
10354.105,10354.443,0.338,"N",,,,"8179.eaf"
10354.693,10355.096,0.403,"N",,,,"8179.eaf"
10355.716,10356.48,0.764,"N",,,,"8179.eaf"
10356.787,10357.619,0.832,"N",,,,"8179.eaf"
10357.963,10358.485,0.522,"N",,,,"8179.eaf"
10361.184,10361.971,0.787,"N",,,,"8179.eaf"
10362.449,10362.508,0.059,"N",,,,"8179.eaf"
10363.599,10364.363,0.764,"N",,,,"8179.eaf"
10365.085,10367.185,2.1,"N",,,,"8179.eaf"
10367.185,10367.767,0.582,"N","T","mm.",,"8179.eaf"
10367.767,10367.905,0.138,,"T","mm.",,"8179.eaf"
10371.988,10372.943,0.955,"N",,,,"8179.eaf"
10378.045,10378.5,0.455,"N",,,,"8179.eaf"
10378.853,10379.7,0.847,"N",,,,"8179.eaf"
10381.004,10381.464,0.46,"N",,,,"8179.eaf"
10386.15,10386.623,0.473,"N",,,,"8179.eaf"
10388.183,10389.754,1.571,"N",,,,"8179.eaf"
10390.202,10391.995,1.793,"N",,,,"8179.eaf"
10392.526,10392.6,0.074,"N",,,,"8179.eaf"
10393.072,10393.245,0.173,"N",,,,"8179.eaf"
10393.64,10393.768,0.128,"N",,,,"8179.eaf"
10396.816,10397.0,0.184,"N",,,,"8179.eaf"
13826.975,13827.517,0.542,,"A","ya' lo'ek.",,"8179.eaf"
13828.407,13828.832,0.425,,"A","yakuk.",,"8179.eaf"
13829.63,13830.184,0.554,,"U","yyy.",,"8179.eaf"
13834.163,13835.167,1.004,,"A","ak'beixa i Xtone.",,"8179.eaf"
13837.545,13838.201,0.656,,"A","aa!",,"8179.eaf"
13839.5,13840.86,1.36,,"B","&=laughs.",,"8179.eaf"
13841.344,13842.319,0.975,,"B","&=laughs.",,"8179.eaf"
13862.928,13864.408,1.48,,"C","yu'nix alalatoek'a?",,"8179.eaf"
13866.081,13866.5,0.419,,"A","jmm.",,"8179.eaf"
13866.734,13867.285,0.551,,"A","jmm.",,"8179.eaf"
13869.744,13870.163,0.419,,"U","yyy.",,"8179.eaf"
13870.858,13872.229,1.371,,"U","yyy.",,"8179.eaf"
13872.899,13873.392,0.493,,"A","ja' paj.",,"8179.eaf"
13885.217,13886.285,1.068,,"A","jae?",,"8179.eaf"
13888.723,13890.292,1.569,,"A","jmm ijk'a uts smango@s:spa?",,"8179.eaf"
13890.52,13890.997,0.477,,"A","aa.",,"8179.eaf"
13911.268,13913.547,2.279,,"B","&=laughs.",,"8179.eaf"
13913.746,13914.58,0.834,,"B","jmm.",,"8179.eaf"
13920.885,13923.82,2.935,,"B","ja jichi bit'il mask'an xlok' sfoto Xuni.",,"8179.eaf"
13924.728,13925.502,0.774,,"B","&=laughs.",,"8179.eaf"
13937.057,13938.298,1.241,,"A","es@s:spa que@s:spa ja' ya xba jliktal.",,"8179.eaf"
13946.469,13947.804,1.335,,"U","yyy.",,"8179.eaf"
13948.676,13949.016,0.34,,"A","jmm.",,"8179.eaf"
13967.121,13967.889,0.768,,"A","eso@s:spa.",,"8179.eaf"
13980.976,13982.523,1.547,,"C","papá la' xi.",,"8179.eaf"
13985.646,13986.413,0.767,,"C","la'.",,"8179.eaf"
14010.956,14012.853,1.897,,"A","pastik ala jun pastik.",,"8179.eaf"
14013.783,14014.758,0.975,,"A","tsakbetal.",,"8179.eaf"
14020.343,14024.202,3.859,,"A","pasbe pasbe spak' ch'inikto x'ochtal.",,"8179.eaf"
14053.267,14054.889,1.622,,"A","mm ya'to k'an?",,"8179.eaf"
16327.79,16328.791,1.001,,"C","ya jts'aktik i.",,"8179.eaf"
16329.959,16330.734,0.775,,"U","yyy.",,"8179.eaf"
16332.794,16334.341,1.547,,"C","yan color@s:spa ya ka'ktik.",,"8179.eaf"
16336.445,16337.515,1.07,,"C","ja'me ay tee.",,"8179.eaf"
16349.385,16351.185,1.8,,"C","ma'yuk yan color@s:spa?",,"8179.eaf"
16354.51,16356.04,1.53,,"C","ya kilek'a yyy.",,"8179.eaf"
16364.285,16365.346,1.061,,"U","yyy.",,"8179.eaf"
16376.431,16377.362,0.931,,"C","pero@s:spa ma xlok'a.",,"8179.eaf"
16390.729,16391.581,0.852,,"C","jmm mm.",,"8179.eaf"
16396.003,16396.503,0.5,,"C","jmm.",,"8179.eaf"
16396.67,16397.986,1.316,,"C","yu'nax me ja'i.",,"8179.eaf"
16425.655,16426.941,1.286,,"C","mame' xa't'uxan.",,"8179.eaf"
16440.149,16440.653,0.504,,"C","jmm.",,"8179.eaf"
16451.813,16453.876,2.063,,"B","mach'aek'i sbojobenxan ta cuchilloek'i@s:spa bok'i?",,"8179.eaf"
16454.003,16455.629,1.626,,"A","bojbilixan yyy -niwan.",,"8179.eaf"
16459.259,16459.889,0.63,,"C","jmm.",,"8179.eaf"
16462.564,16463.458,0.894,,"C","te' ju' ya'tik amene?",,"8179.eaf"
16470.392,16470.918,0.526,,"C","ya kil i.",,"8179.eaf"
16480.107,16481.199,1.092,,"C","yak ima.",,"8179.eaf"
16505.298,16505.987,0.689,,"C","&=laughs.",,"8179.eaf"
16538.876,16540.644,1.768,,"A","baemik la ta k'ok mango@s:spa.",,"8179.eaf"
16541.268,16541.77,0.502,,"A","jmm.",,"8179.eaf"
16544.897,16545.637,0.74,,"C","jmm.",,"8179.eaf"
16548.152,16548.391,0.239,,"C","jmm.",,"8179.eaf"
16549.37,16549.994,0.624,,"C","mm.",,"8179.eaf"
20123.942,20124.674,0.732,"N",,,,"8179.eaf"
20124.882,20125.9,1.018,"N",,,,"8179.eaf"
20128.35,20129.13,0.78,,"A","ochan.",,"8179.eaf"
20129.4,20130.698,1.298,"C",,,,"8179.eaf"
20135.552,20136.51,0.958,"N",,,,"8179.eaf"
20137.548,20138.46,0.912,"N",,,,"8179.eaf"
20139.385,20140.805,1.42,,"U","<yyy> [=! laughs].",,"8179.eaf"
20140.93,20140.964,0.034,,"A","<wa'i> [=! laughs].",,"8179.eaf"
20140.964,20141.535,0.571,"N","A","<wa'i> [=! laughs].",,"8179.eaf"
20141.535,20141.692,0.157,,"A","<wa'i> [=! laughs].",,"8179.eaf"
20141.692,20142.174,0.482,"N","A","<wa'i> [=! laughs].",,"8179.eaf"
20142.174,20142.53,0.356,,"A","<wa'i> [=! laughs].",,"8179.eaf"
20142.95,20143.33,0.38,"N",,,,"8179.eaf"
20143.33,20143.936,0.606,"N","A","&=laughs.",,"8179.eaf"
20143.936,20144.746,0.81,,"A","&=laughs.",,"8179.eaf"
20144.746,20144.84,0.094,"N","A","&=laughs.",,"8179.eaf"
20144.84,20144.89,0.05,,"A","&=laughs.",,"8179.eaf"
20146.155,20146.785,0.63,,"A","&=laughs.",,"8179.eaf"
20147.535,20147.925,0.39,,"A","jm.",,"8179.eaf"
20153.76,20154.64,0.88,"N",,,,"8179.eaf"
20155.032,20155.664,0.632,"N",,,,"8179.eaf"
20155.99,20157.326,1.336,"N",,,,"8179.eaf"
20157.752,20158.184,0.432,"N",,,,"8179.eaf"
20160.488,20161.605,1.117,"N",,,,"8179.eaf"
20162.19,20163.62,1.43,"N",,,,"8179.eaf"
20165.326,20165.495,0.169,"N",,,,"8179.eaf"
20171.735,20172.925,1.19,,"A","k'uxma yyy.",,"8179.eaf"
20176.645,20177.485,0.84,,"C","jich i.",,"8179.eaf"
20177.74,20178.71,0.97,,"C","alal.",,"8179.eaf"
20180.05,20180.42,0.37,,"C","jm.",,"8179.eaf"
20180.944,20181.078,0.134,"N",,,,"8179.eaf"
20182.118,20183.67,1.552,"N",,,,"8179.eaf"
21007.215,21007.741,0.526,,"A","aa.",,"8179.eaf"
21011.751,21012.074,0.323,,"T","xit.",,"8179.eaf"
21012.78,21013.368,0.588,,"A","banti <bajteki> [: bajtek'i] yyy?",,"8179.eaf"
21013.368,21014.567,1.199,"N","A","banti <bajteki> [: bajtek'i] yyy?",,"8179.eaf"
21014.567,21015.476,0.909,"N",,,,"8179.eaf"
21017.178,21017.4,0.222,"N",,,,"8179.eaf"
21026.374,21026.678,0.304,"N",,,,"8179.eaf"
21109.559,21113.598,4.039,"N",,,,"8179.eaf"
21138.522,21141.636,3.114,"N",,,,"8179.eaf"
21145.874,21146.186,0.312,"N",,,,"8179.eaf"
21164.632,21166.902,2.27,"Y",,,,"8179.eaf"
21166.902,21168.115,1.213,"Y","T","binti?",,"8179.eaf"
21168.115,21168.495,0.38,,"T","binti?",,"8179.eaf"
21171.357,21173.428,2.071,,"T","manax i, binti ya pas imen ch'e?",,"8179.eaf"
