filename,onset,offset,tier,annotation
643.eaf,1946.0,2246.0,code,random-1
643.eaf,4926.0,5226.0,code,random-2
643.eaf,6478.0,6538.0,code,va-1
643.eaf,11124.0,11184.0,code,tt-1
643.eaf,11184.0,11484.0,code,extension_tt-1
643.eaf,14171.0,14471.0,code,random-3
643.eaf,14845.0,15145.0,code,random-4
643.eaf,16625.0,16925.0,code,random-5
643.eaf,17763.0,17823.0,code,va-2
643.eaf,17889.0,17949.0,code,tt-2
643.eaf,20364.0,20664.0,code,random-6
643.eaf,21185.0,21485.0,code,random-7
643.eaf,23508.0,23568.0,code,tt-3
643.eaf,26150.0,26210.0,code,va-3
643.eaf,26502.0,26802.0,code,random-8
643.eaf,26870.0,26930.0,code,tt-4
643.eaf,28249.0,28549.0,code,random-9
643.eaf,29940.0,30000.0,code,tt-5
643.eaf,30522.0,30582.0,code,va-4
643.eaf,31085.0,31145.0,code,va-5
2109.eaf,3381.0,3681.0,code,random-1
2109.eaf,3912.0,4212.0,code,random-2
2109.eaf,4322.0,4382.0,code,tt-1
2109.eaf,5974.0,6274.0,code,random-3
2109.eaf,10967.0,11267.0,code,random-4
2109.eaf,14179.0,14479.0,code,random-5
2109.eaf,14676.0,14736.0,code,tt-2
2109.eaf,15473.0,15533.0,code,va-1
2109.eaf,15546.0,15833.0,code,extension_tt-3
2109.eaf,15833.0,15893.0,code,tt-3
2109.eaf,15893.0,15906.0,code,extension_tt-3
2109.eaf,18085.0,18385.0,code,random-6
2109.eaf,20171.0,20231.0,code,va-2
2109.eaf,22675.0,22975.0,code,random-7
2109.eaf,22975.0,23035.0,code,va-3
2109.eaf,24338.0,24398.0,code,tt-4
2109.eaf,24562.0,24622.0,code,va-4
2109.eaf,25200.0,25260.0,code,tt-5
2109.eaf,29116.0,29416.0,code,random-8
2109.eaf,30718.0,30778.0,code,va-5
2109.eaf,31613.0,31913.0,code,random-9
2625.eaf,2516.0,2576.0,code,va-1
2625.eaf,2721.0,2781.0,code,va-2
2625.eaf,4748.0,5048.0,code,random-1
2625.eaf,8681.0,8741.0,code,tt-1
2625.eaf,8741.0,8801.0,code,tt-2
2625.eaf,8801.0,9101.0,code,extension_tt-2
2625.eaf,9458.0,9758.0,code,random-2
2625.eaf,9974.0,10034.0,code,tt-3
2625.eaf,12237.0,12537.0,code,random-3
2625.eaf,12677.0,12977.0,code,random-4
2625.eaf,16406.0,16706.0,code,random-5
2625.eaf,16706.0,16766.0,code,va-3
2625.eaf,18146.0,18206.0,code,va-4
2625.eaf,18459.0,18759.0,code,random-6
2625.eaf,27365.0,27665.0,code,random-7
2625.eaf,30412.0,30712.0,code,random-8
2625.eaf,32174.0,32474.0,code,random-9
2625.eaf,32506.0,32566.0,code,va-5
2625.eaf,32702.0,32762.0,code,tt-4
2625.eaf,33154.0,33214.0,code,tt-5
3026.eaf,1705.0,1765.0,code,va-1
3026.eaf,1772.0,2072.0,code,random-1
3026.eaf,2263.0,2323.0,code,tt-1
3026.eaf,3275.0,3335.0,code,va-2
3026.eaf,5355.0,5415.0,code,tt-2
3026.eaf,5731.0,5791.0,code,va-3
3026.eaf,5809.0,6109.0,code,random-2
3026.eaf,7252.0,7312.0,code,va-4
3026.eaf,8834.0,9134.0,code,random-3
3026.eaf,9858.0,10158.0,code,random-4
3026.eaf,13562.0,13622.0,code,tt-3
3026.eaf,15449.0,15749.0,code,random-5
3026.eaf,16867.0,17112.0,code,extension_tt-4
3026.eaf,17112.0,17172.0,code,tt-4
3026.eaf,17172.0,17227.0,code,extension_tt-4
3026.eaf,18232.0,18532.0,code,random-6
