,Language_name,context,count
0,Croatian,HomeUnstructured,58
1,English,HomeOther,20
2,English,HomeUnstructured,338
3,English,LabInterview/Unstructured,360
4,English,LabTabletop play,26
5,English,LabUnstructured,26
6,English,OtherUnstructured,128
7,Estonian,HomeUnstructured,22
8,French,HomeUnstructured,238
9,French,NaNNaN,37
10,German,HomeUnstructured,38
11,Japanese,HomeUnstructured,107
12,Japanese,NaNNaN,53
13,Korean,HomeBook-reading,28
14,Mandarin,HomeUnstructured,2
15,Norwegian,HomeUnstructured,26
16,Persian,HomeNaN,11
17,Polish,HomeInterview/Unstructured,1
18,Portuguese,HomeUnstructured,23
19,Spanish,HomeUnstructured,30
20,Swedish,HomeUnstructured,16
