Corpus,Language,CHILDES Category,Location,Activity
Bernstein,English,naturalistic,Lab,Unstructured
Peters,English,case study,Other,Unstructured
Rollins,English,naturalistic,Lab,Tabletop play
Rollins,English,naturalistic,Lab,Tabletop play
Rollins,English,naturalistic,Lab,Unstructured
Bloom,English,naturalistic,Home,Unstructured
Bloom,English,naturalistic,Home,Unstructured
Brent,English,naturalistic,Home,Unstructured
Nelson,English,naturalistic,Home,Unstructured
Braunwald,English,case study,Other,Unstructured
Braunwald,English,case study,Other,Unstructured
Soderstrom,English,naturalistic,Home,Unstructured
Sachs,English,naturalistic,Home,Unstructured
McCune,English,naturalistic,Home,Other
NewmanRatner,English,longitudinal,Lab,Interview/Unstructured
Lund,Swedish,naturalistic,Home,Unstructured
Andren,Swedish,naturalistic,Home,Unstructured
Nieva,Spanish,"longitudinal, naturalistic",Home,Unstructured
Family,Persian,naturalistic,Home,N/A
Ishii,Japanese,naturalistic,N/A,N/A
MiiPro,Japanese,naturalistic,Home,Unstructured
Miyata,Japanese,longitudinal,Home,Unstructured
Santos,Portuguese,naturalistic,Home,Unstructured
Santos,Portuguese,naturalistic,Home,Unstructured
Garmann,Norwegian,naturalistic,Home,Unstructured
Lyon,French,naturalistic,Home,Unstructured
Paris,French,naturalistic,Home,Unstructured
Remedi,Spanish,longitudinal,Home,Unstructured
York,French,naturalistic,Home,Unstructured
Tong,Mandarin,longitudinal,Home,Unstructured
Argus,Estonian,case study,Home,Unstructured
Zupping,Estonian,longitudinal,Home,Unstructured
Ryu,Korean,longitudinal,Home,Book-reading
Kovacevic,Croatian,naturalistic,Home,Unstructured
Rigol,German,naturalistic,Home,Unstructured
WeistJarosz,Polish,"naturalistic, longitudinal",Home,Interview/Unstructured
WeistJarosz,Polish,"naturalistic, longitudinal",Home,Interview/Unstructured
Yamaguchi,French,longitudinal,Home,Unstructured
Hunkeler,French,naturalistic,N/A,N/A
Leo,German,case study,Home,Unstructured
MacWhinney,English,naturalistic,Home,Unstructured
Providence,English,naturalistic,Home,Unstructured
