Language,Language_name,Language_Family,Language_Genus,Agglutinative
deu,German,Indo-European,Germanic,0
eng,English,Indo-European,Germanic,0
est,Estonian,Uralic,Finnic,1
fas,Persian,Indo-European,Iranian,0
fra,French,Indo-European,Romance,0
hrv,Croatian,Indo-European,Savlic,0
jpn,Japanese,Japonic,Japanese,1
kor,Korean,Koreanic,Korean,1
nor,Norwegian,Indo-European,Germanic,0
pol,Polish,Indo-European,Savlic,0
por,Portuguese,Indo-European,Romance,0
spa,Spanish,Indo-European,Romance,0
swe,Swedish,Indo-European,Germanic,0
zho,Mandarin,Sino-Tibetan,Chinese,0
