"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (59)","-28.4 (4.27)",-6.65,-1.25,"<.0001","Croatian ",-1.77191584552013,-0.719478818684871,"maxturn","lexdiv"
"2","English (1013)","-98.86 (1.93)",-51.27,-2.31,"<.0001","English ",-2.42764334819767,-2.19887864168406,"maxturn","lexdiv"
"3","Estonian (22)","-53.82 (13.2)",-4.08,-1.26,"0.0065","Estonian ",-2.05097283932706,-0.464896727027425,"maxturn","lexdiv"
"4","French (287)","-60.72 (3.08)",-19.7,-1.65,"<.0001","French ",-1.85217083733949,-1.44558766188096,"maxturn","lexdiv"
"5","German (38)","-47.79 (8.19)",-5.83,-1.36,"<.0001","German ",-1.97720402515047,-0.73523868030997,"maxturn","lexdiv"
"6","Japanese (160)","-34.54 (3.02)",-11.45,-1.28,"<.0001","Japanese ",-1.55349928225024,-1.00949421830469,"maxturn","lexdiv"
"7","Korean (28)","-79.5 (11.78)",-6.75,-1.84,"<.0001","Korean ",-2.49011086927197,-1.18355412023698,"maxturn","lexdiv"
"8","Mandarin (2)","-90.5 (6.5)",-13.92,-19.69,"0.0022","Mandarin ",NA,NA,"maxturn","lexdiv"
"9","Norwegian (45)","-16.84 (8.54)",-1.97,-0.47,"0.7817","Norwegian ",-Inf,Inf,"maxturn","lexdiv"
"10","Persian (12)","-46 (11.19)",-4.11,-1.75,"0.0169","Persian ",-2.80051172490914,-0.705469389699931,"maxturn","lexdiv"
"11","Polish (1)","-10 (NaN)",NA,NA,"NaN","Polish ",NA,NA,"maxturn","lexdiv"
"12","Portuguese (23)","-28.91 (7.61)",-3.8,-1.15,"0.0121","Portuguese ",-2.15083143124684,-0.14158048299529,"maxturn","lexdiv"
"13","Spanish (31)","18.71 (5.53)",3.39,0.87,"0.0265","Spanish ",0.300876000851157,1.44748372037729,"maxturn","lexdiv"
"14","Swedish (16)","-25.88 (14.7)",-1.76,-0.64,"1.0000","Swedish ",-1.5278515594833,0.242656222608115,"maxturn","lexdiv"
