"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (60)","-0.5 (0.07)",-7.45,-0.18,"<.0001","Croatian ",NA,NA,"maxturn","mlu"
"2","English (1010)","-0.61 (0.02)",-27.5,-0.21,"<.0001","English ",NA,NA,"maxturn","mlu"
"3","Estonian (22)","-0.64 (0.12)",-5.36,-0.21,"<.0001","Estonian ",-0.316637425301189,-0.112935519263912,"maxturn","mlu"
"4","French (287)","-0.38 (0.04)",-8.85,-0.12,"<.0001","French ",NA,NA,"maxturn","mlu"
"5","German (38)","-0.89 (0.09)",-9.77,-0.28,"<.0001","German ",NA,NA,"maxturn","mlu"
"6","Japanese (139)","-0.6 (0.03)",-23.43,-0.31,"<.0001","Japanese ",NA,NA,"maxturn","mlu"
"7","Korean (28)","-0.52 (0.06)",-8.25,-0.25,"<.0001","Korean ",NA,NA,"maxturn","mlu"
"8","Mandarin (2)","-0.9 (0.27)",-3.28,-0.35,"0.0158","Mandarin ",-0.63091870590972,-0.0600006107226667,"maxturn","mlu"
"9","Norwegian (45)","-0.57 (0.12)",-4.93,-0.22,"<.0001","Norwegian ",-9.62767566772e+191,9.62767566772e+191,"maxturn","mlu"
"10","Persian (12)","-0.24 (0.14)",-1.71,-0.12,"1.0000","Persian ",-0.268498901417538,0.025238977082508,"maxturn","mlu"
"11","Polish (1)","0.43 (0.39)",1.09,0.22,"1.0000","Polish ",-0.183291010608565,0.630581606601082,"maxturn","mlu"
"12","Portuguese (23)","-0.83 (0.1)",-8.44,-0.29,"<.0001","Portuguese ",NA,NA,"maxturn","mlu"
"13","Spanish (31)","-0.39 (0.06)",-6.07,-0.17,"<.0001","Spanish ",NA,NA,"maxturn","mlu"
"14","Swedish (16)","-0.55 (0.09)",-5.97,-0.24,"<.0001","Swedish ",-0.343698281913288,-0.133377286727601,"maxturn","mlu"
