"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (60)","0.08 (0.01)",7.86,0.19,"<.0001","Croatian ",NA,NA,"maxturn","swu"
"2","English (1010)","0.11 (0)",34.65,0.27,"<.0001","English ",NA,NA,"maxturn","swu"
"3","Estonian (22)","0.07 (0.01)",4.84,0.19,"<.0001","Estonian ",0.0915016544392101,0.296363636522951,"maxturn","swu"
"4","French (287)","0.04 (0.01)",8.1,0.11,"<.0001","French ",NA,NA,"maxturn","swu"
"5","German (38)","0.09 (0.01)",7.6,0.21,"<.0001","German ",NA,NA,"maxturn","swu"
"6","Japanese (139)","0.18 (0.01)",28.25,0.38,"<.0001","Japanese ",NA,NA,"maxturn","swu"
"7","Korean (28)","0.09 (0.01)",7.96,0.24,"<.0001","Korean ",NA,NA,"maxturn","swu"
"8","Mandarin (2)","0.06 (0.04)",1.61,0.17,"1.0000","Mandarin ",-0.109401432204403,0.447744467068574,"maxturn","swu"
"9","Norwegian (45)","0.07 (0.02)",4.01,0.18,"9e-04","Norwegian ",-3.99543463201759e+236,3.99543463201759e+236,"maxturn","swu"
"10","Persian (12)","0.01 (0.03)",0.38,0.03,"1.0000","Persian ",-0.120286108454352,0.1736811835965,"maxturn","swu"
"11","Polish (1)","-0.03 (0.08)",-0.36,-0.07,"1.0000","Polish ",-0.479721638156064,0.331851996508758,"maxturn","swu"
"12","Portuguese (23)","0.1 (0.01)",7.78,0.26,"<.0001","Portuguese ",NA,NA,"maxturn","swu"
"13","Spanish (31)","0.06 (0.01)",5.18,0.14,"<.0001","Spanish ",NA,NA,"maxturn","swu"
"14","Swedish (16)","0.14 (0.02)",8.01,0.32,"<.0001","Swedish ",0.217736170788014,0.422645071683856,"maxturn","swu"
