"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (57)","-25.6 (4.39)",-5.82,-1.1,"<.0001","Croatian ",-1.62637873957149,-0.575150409877057,"maxvoc","lexdiv"
"2","English (1001)","-94.73 (1.96)",-48.26,-2.2,"<.0001","English ",-2.31165452024546,-2.08522256612837,"maxvoc","lexdiv"
"3","Estonian (22)","-35.18 (11.64)",-3.02,-0.93,"0.0847","Estonian ",-1.7039487342968,-0.161647822336677,"maxvoc","lexdiv"
"4","French (242)","-64.7 (3.01)",-21.47,-1.97,"<.0001","French ",-2.20391013754939,-1.73578325544096,"maxvoc","lexdiv"
"5","German (38)","-41.84 (8.23)",-5.09,-1.18,"1e-04","German ",-1.78767429552776,-0.577691315169718,"maxvoc","lexdiv"
"6","Japanese (160)","-31.15 (2.94)",-10.6,-1.19,"<.0001","Japanese ",-1.45774278326305,-0.920336558641469,"maxvoc","lexdiv"
"7","Korean (28)","-73.61 (13.01)",-5.66,-1.54,"1e-04","Korean ",-2.16324461646518,-0.91716187819742,"maxvoc","lexdiv"
"8","Mandarin (2)","-65.5 (18.5)",-3.54,-5.01,"0.3360","Mandarin ",NA,NA,"maxvoc","lexdiv"
"9","Norwegian (43)","-13.73 (8.23)",-1.67,-0.39,"1.0000","Norwegian ",-Inf,Inf,"maxvoc","lexdiv"
"10","Persian (11)","-36.27 (8.57)",-4.23,-1.89,"0.0160","Persian ",-3.02800098709791,-0.758329344067399,"maxvoc","lexdiv"
"11","Polish (1)","-17 (NaN)",NA,NA,"NaN","Polish ",NA,NA,"maxvoc","lexdiv"
"12","Portuguese (23)","-17.43 (6.38)",-2.73,-0.82,"0.1624","Portuguese ",-1.674234833827,0.0266288599331644,"maxvoc","lexdiv"
"13","Spanish (30)","12.8 (5.35)",2.39,0.63,"0.3212","Spanish ",-0.037078891803306,1.29396577325534,"maxvoc","lexdiv"
"14","Swedish (16)","-27.38 (14.28)",-1.92,-0.7,"1.0000","Swedish ",-1.58949200557949,0.189920250864729,"maxvoc","lexdiv"
