"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (57)","-0.46 (0.07)",-6.9,-0.17,"<.0001","Croatian ",NA,NA,"maxvoc","mlu"
"2","English (997)","-0.58 (0.02)",-25.13,-0.21,"<.0001","English ",NA,NA,"maxvoc","mlu"
"3","Estonian (22)","-0.63 (0.12)",-5.08,-0.22,"<.0001","Estonian ",-0.343743292164055,-0.0911953905740826,"maxvoc","mlu"
"4","French (285)","-0.37 (0.05)",-7.96,-0.12,"<.0001","French ",NA,NA,"maxvoc","mlu"
"5","German (38)","-0.93 (0.09)",-9.86,-0.29,"<.0001","German ",NA,NA,"maxvoc","mlu"
"6","Japanese (139)","-0.57 (0.03)",-22.14,-0.3,"<.0001","Japanese ",NA,NA,"maxvoc","mlu"
"7","Korean (28)","-0.57 (0.06)",-8.82,-0.27,"<.0001","Korean ",NA,NA,"maxvoc","mlu"
"8","Mandarin (2)","-0.66 (0.27)",-2.46,-0.3,"0.1993","Mandarin ",-0.608287916282038,-0.000372463538156231,"maxvoc","mlu"
"9","Norwegian (43)","-0.74 (0.13)",-5.6,-0.27,"<.0001","Norwegian ",-Inf,Inf,"maxvoc","mlu"
"10","Persian (11)","-0.48 (0.19)",-2.52,-0.23,"0.1675","Persian ",-0.42068316251178,-0.0400727478238966,"maxvoc","mlu"
"11","Polish (1)","-0.37 (0.38)",-0.96,-0.19,"1.0000","Polish ",-0.590096864900431,0.205018023918865,"maxvoc","mlu"
"12","Portuguese (23)","-0.83 (0.11)",-7.76,-0.3,"<.0001","Portuguese ",-0.403427261290519,-0.192858027957932,"maxvoc","mlu"
"13","Spanish (30)","-0.54 (0.07)",-7.99,-0.24,"<.0001","Spanish ",NA,NA,"maxvoc","mlu"
"14","Swedish (16)","-0.61 (0.09)",-6.61,-0.27,"<.0001","Swedish ",-0.375191868819285,-0.161839017994417,"maxvoc","mlu"
