"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (57)","0.08 (0.01)",7.63,0.19,"<.0001","Croatian ",NA,NA,"maxvoc","swu"
"2","English (997)","0.1 (0)",31.78,0.26,"<.0001","English ",NA,NA,"maxvoc","swu"
"3","Estonian (22)","0.06 (0.02)",4.05,0.17,"7e-04","Estonian ",0.0638418645979974,0.27993231069869,"maxvoc","swu"
"4","French (285)","0.04 (0.01)",7.4,0.11,"<.0001","French ",NA,NA,"maxvoc","swu"
"5","German (38)","0.08 (0.01)",7.08,0.21,"<.0001","German ",NA,NA,"maxvoc","swu"
"6","Japanese (139)","0.17 (0.01)",25.49,0.35,"<.0001","Japanese ",NA,NA,"maxvoc","swu"
"7","Korean (28)","0.09 (0.01)",7.77,0.24,"<.0001","Korean ",0.133605146846314,0.326857495229043,"maxvoc","swu"
"8","Mandarin (2)","0.09 (0.05)",1.85,0.23,"0.9061","Mandarin ",0.208695589597126,0.415902345779096,"maxvoc","swu"
"9","Norwegian (43)","0.1 (0.02)",4.8,0.23,"<.0001","Norwegian ",NA,NA,"maxvoc","swu"
"10","Persian (11)","0.07 (0.04)",1.57,0.14,"1.0000","Persian ",0.222869966716495,0.428673965392252,"maxvoc","swu"
"11","Polish (1)","0.15 (0.08)",1.73,0.35,"1.0000","Polish ",-0.0467228274225146,0.334092923051808,"maxvoc","swu"
"12","Portuguese (23)","0.11 (0.01)",8.13,0.31,"<.0001","Portuguese ",NA,NA,"maxvoc","swu"
"13","Spanish (30)","0.07 (0.01)",5.95,0.17,"<.0001","Spanish ",-0.427882933651274,0.886322524731576,"maxvoc","swu"
"14","Swedish (16)","0.14 (0.02)",8.01,0.33,"<.0001","Swedish ",-0.054289197082149,0.744882516035157,"maxvoc","swu"
