,Language_name,target_child_id,transcript_id,contingent,sums,caregiver_type
1,Croatian,18271,29171,contingent,13,Mother & Father
2,Croatian,18271,29171,non-contingent,55,Mother & Father
3,Croatian,18271,29173,contingent,61,Mother only
4,Croatian,18271,29173,non-contingent,103,Mother only
5,Croatian,18271,29174,contingent,76,Mother only
6,Croatian,18271,29174,non-contingent,75,Mother only
7,Croatian,18271,29175,contingent,87,Mother only
8,Croatian,18271,29175,non-contingent,75,Mother only
9,Croatian,18271,29176,contingent,83,Mother only
10,Croatian,18271,29176,non-contingent,122,Mother only
11,Croatian,18271,29177,contingent,66,Mother only
12,Croatian,18271,29177,non-contingent,123,Mother only
13,Croatian,18271,29178,contingent,140,Mother only
14,Croatian,18271,29178,non-contingent,157,Mother only
15,Croatian,18271,29179,contingent,153,Mother & Father
16,Croatian,18271,29179,non-contingent,172,Mother & Father
17,Croatian,18271,29180,contingent,97,Mother & Father
18,Croatian,18271,29180,non-contingent,207,Mother & Father
19,Croatian,18271,29187,contingent,73,Mother only
20,Croatian,18271,29187,non-contingent,88,Mother only
21,Croatian,18271,29192,contingent,114,Mother only
22,Croatian,18271,29192,non-contingent,191,Mother only
23,Croatian,18271,29194,contingent,101,Mother & Father
24,Croatian,18271,29194,non-contingent,161,Mother & Father
25,Croatian,18271,29195,contingent,118,Mother only
26,Croatian,18271,29195,non-contingent,139,Mother only
27,Croatian,18271,29196,contingent,112,Mother only
28,Croatian,18271,29196,non-contingent,152,Mother only
29,Croatian,18271,29197,contingent,140,Mother only
30,Croatian,18271,29197,non-contingent,129,Mother only
31,Croatian,18271,29199,contingent,98,Mother only
32,Croatian,18271,29199,non-contingent,143,Mother only
33,Croatian,18271,29200,contingent,163,Mother only
34,Croatian,18271,29200,non-contingent,182,Mother only
35,Croatian,18271,29201,contingent,135,Mother only
36,Croatian,18271,29201,non-contingent,157,Mother only
37,Croatian,18271,29202,contingent,97,Mother only
38,Croatian,18271,29202,non-contingent,189,Mother only
39,Croatian,18271,29203,contingent,144,Mother only
40,Croatian,18271,29203,non-contingent,154,Mother only
41,Croatian,18271,29204,contingent,142,Mother & Father
42,Croatian,18271,29204,non-contingent,180,Mother & Father
43,Croatian,18283,29212,contingent,74,Mother & Father
44,Croatian,18283,29212,non-contingent,106,Mother & Father
45,Croatian,18283,29213,contingent,59,Mother & Father
46,Croatian,18283,29213,non-contingent,102,Mother & Father
47,Croatian,18283,29214,contingent,57,Mother & Father
48,Croatian,18283,29214,non-contingent,126,Mother & Father
49,Croatian,18283,29215,contingent,62,Mother & Father
50,Croatian,18283,29215,non-contingent,94,Mother & Father
51,Croatian,18283,29216,contingent,64,Mother only
52,Croatian,18283,29216,non-contingent,121,Mother only
53,Croatian,18283,29217,contingent,88,Mother only
54,Croatian,18283,29217,non-contingent,114,Mother only
55,Croatian,18283,29218,contingent,21,Mother & Father
56,Croatian,18283,29218,non-contingent,64,Mother & Father
57,Croatian,18283,29219,contingent,65,Mother only
58,Croatian,18283,29219,non-contingent,102,Mother only
59,Croatian,18283,29220,contingent,65,Mother only
60,Croatian,18283,29220,non-contingent,104,Mother only
61,Croatian,18283,29222,contingent,61,Mother only
62,Croatian,18283,29222,non-contingent,159,Mother only
63,Croatian,18283,29223,contingent,97,Mother only
64,Croatian,18283,29223,non-contingent,170,Mother only
65,Croatian,18283,29224,contingent,113,Mother only
66,Croatian,18283,29224,non-contingent,175,Mother only
67,Croatian,18283,29225,contingent,60,Mother only
68,Croatian,18283,29225,non-contingent,68,Mother only
69,Croatian,18283,29226,contingent,63,Mother & Father
70,Croatian,18283,29226,non-contingent,81,Mother & Father
71,Croatian,18283,29227,contingent,69,Mother only
72,Croatian,18283,29227,non-contingent,151,Mother only
73,Croatian,18283,29228,contingent,56,Mother only
74,Croatian,18283,29228,non-contingent,96,Mother only
75,Croatian,18283,29229,contingent,76,Mother only
76,Croatian,18283,29229,non-contingent,127,Mother only
77,Croatian,18283,29230,contingent,106,Mother only
78,Croatian,18283,29230,non-contingent,165,Mother only
79,Croatian,18283,29231,contingent,106,Mother only
80,Croatian,18283,29231,non-contingent,109,Mother only
81,Croatian,18283,29232,contingent,57,Mother & Father
82,Croatian,18283,29232,non-contingent,114,Mother & Father
83,Croatian,18283,29233,contingent,105,Mother & Father
84,Croatian,18283,29233,non-contingent,107,Mother & Father
85,Croatian,18283,29234,contingent,78,Mother only
86,Croatian,18283,29234,non-contingent,108,Mother only
87,Croatian,18283,29235,contingent,157,Mother only
88,Croatian,18283,29235,non-contingent,191,Mother only
89,Croatian,18290,29249,contingent,15,Mother only
90,Croatian,18290,29249,non-contingent,80,Mother only
91,Croatian,18290,29253,contingent,112,Mother only
92,Croatian,18290,29253,non-contingent,144,Mother only
93,Croatian,18290,29255,contingent,120,Mother & Father
94,Croatian,18290,29255,non-contingent,179,Mother & Father
95,Croatian,18290,29258,contingent,100,Mother only
96,Croatian,18290,29258,non-contingent,200,Mother only
97,Croatian,18290,29262,contingent,44,Mother only
98,Croatian,18290,29262,non-contingent,74,Mother only
99,Croatian,18290,29267,contingent,39,Mother only
100,Croatian,18290,29267,non-contingent,52,Mother only
101,Croatian,18290,29271,contingent,105,Mother only
102,Croatian,18290,29271,non-contingent,128,Mother only
103,Croatian,18290,29275,contingent,5,Mother only
104,Croatian,18290,29275,non-contingent,11,Mother only
105,Croatian,18290,29281,contingent,129,Mother & Father
106,Croatian,18290,29281,non-contingent,98,Mother & Father
107,Croatian,18290,29284,contingent,89,Mother & Father
108,Croatian,18290,29284,non-contingent,107,Mother & Father
109,Croatian,18290,29285,contingent,130,Mother only
110,Croatian,18290,29285,non-contingent,110,Mother only
111,Croatian,18290,29286,contingent,80,Mother only
112,Croatian,18290,29286,non-contingent,147,Mother only
113,Croatian,18290,29288,contingent,107,Mother only
114,Croatian,18290,29288,non-contingent,156,Mother only
115,Croatian,18290,29289,contingent,29,Father only
