"","Language_name","sign_cat","n","prop","measure"
"1","Croatian","+",53,0.913793103448276,"Number of Unique Words"
"2","English","+",839,0.95124716553288,"Number of Unique Words"
"3","Estonian","+",18,0.818181818181818,"Number of Unique Words"
"4","French","+",245,0.878136200716846,"Number of Unique Words"
"5","German","+",36,0.947368421052632,"Number of Unique Words"
"6","Japanese","+",145,0.90625,"Number of Unique Words"
"7","Korean","+",25,0.892857142857143,"Number of Unique Words"
"8","Norwegian","+",16,0.571428571428571,"Number of Unique Words"
"9","Persian","+",12,1,"Number of Unique Words"
"10","Portuguese","+",20,0.869565217391304,"Number of Unique Words"
"11","Spanish","+",15,0.5,"Number of Unique Words"
"12","Swedish","+",13,0.8125,"Number of Unique Words"
"13","Tseltal","+",7,0.7,"Number of Unique Words"
