"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (58)","-0.37 (0.07)",-5,-0.13,"<.0001","Croatian ",NA,NA,"rand","mlu"
"2","English (882)","-0.69 (0.03)",-26.23,-0.23,"<.0001","English ",NA,NA,"rand","mlu"
"3","Estonian (22)","-0.61 (0.12)",-4.88,-0.21,"<.0001","Estonian ",-0.306004191048702,-0.123988986704654,"rand","mlu"
"4","French (279)","-0.53 (0.05)",-9.77,-0.16,"<.0001","French ",NA,NA,"rand","mlu"
"5","German (38)","-0.89 (0.11)",-8.38,-0.26,"<.0001","German ",NA,NA,"rand","mlu"
"6","Japanese (160)","-0.65 (0.03)",-23.54,-0.32,"<.0001","Japanese ",NA,NA,"rand","mlu"
"7","Korean (28)","-0.46 (0.07)",-6.66,-0.22,"<.0001","Korean ",NA,NA,"rand","mlu"
"8","Norwegian (28)","-0.66 (0.14)",-4.59,-0.24,"0.0001","Norwegian ",-0.342834758732848,-0.136365696884041,"rand","mlu"
"9","Persian (12)","-0.41 (0.1)",-4.3,-0.18,"0.0002","Persian ",NA,NA,"rand","mlu"
"10","Portuguese (23)","-0.69 (0.13)",-5.32,-0.22,"<.0001","Portuguese ",-0.32779116545594,-0.104825534500327,"rand","mlu"
"11","Spanish (30)","-0.53 (0.07)",-7.41,-0.23,"<.0001","Spanish ",NA,NA,"rand","mlu"
"12","Swedish (16)","-0.64 (0.09)",-6.97,-0.28,"<.0001","Swedish ",-0.381564463285885,-0.178418531883442,"rand","mlu"
"13","Tseltal (10)","-0.83 (0.13)",-6.43,-0.3,"<.0001","Tseltal ",-0.395007811408736,-0.197932687355054,"rand","mlu"
