"","Language_name","sign_cat","n","prop","measure"
"1","Croatian","-",41,0.706896551724138,"Prop. Single Word Utterances"
"2","English","-",595,0.674603174603175,"Prop. Single Word Utterances"
"3","Estonian","-",18,0.818181818181818,"Prop. Single Word Utterances"
"4","French","-",167,0.598566308243728,"Prop. Single Word Utterances"
"5","German","-",32,0.842105263157895,"Prop. Single Word Utterances"
"6","Japanese","-",153,0.95625,"Prop. Single Word Utterances"
"7","Korean","-",23,0.821428571428571,"Prop. Single Word Utterances"
"8","Norwegian","-",19,0.678571428571429,"Prop. Single Word Utterances"
"9","Persian","-",11,0.916666666666667,"Prop. Single Word Utterances"
"10","Portuguese","-",14,0.608695652173913,"Prop. Single Word Utterances"
"11","Spanish","-",28,0.933333333333333,"Prop. Single Word Utterances"
"12","Swedish","-",15,0.9375,"Prop. Single Word Utterances"
"13","Tseltal","-",6,0.6,"Prop. Single Word Utterances"
