"","Language (n)","Estimate (SE)","Test statistic","Effect size","Adjusted p-value","Clean_Language","CI+","CI-","sample","measure"
"1","Croatian (58)","0.07 (0.01)",6.5,0.17,"<.0001","Croatian ",NA,NA,"rand","swu"
"2","English (882)","0.11 (0)",30.11,0.27,"<.0001","English ",NA,NA,"rand","swu"
"3","Estonian (22)","0.04 (0.01)",2.88,0.13,"0.0525","Estonian ",0.0323537415935583,0.219400148668882,"rand","swu"
"4","French (279)","0.05 (0.01)",7.75,0.13,"<.0001","French ",NA,NA,"rand","swu"
"5","German (38)","0.08 (0.01)",6.49,0.2,"<.0001","German ",NA,NA,"rand","swu"
"6","Japanese (160)","0.18 (0.01)",27.63,0.37,"<.0001","Japanese ",NA,NA,"rand","swu"
"7","Korean (28)","0.08 (0.01)",8.04,0.26,"<.0001","Korean ",NA,NA,"rand","swu"
"8","Norwegian (28)","0.1 (0.02)",4.79,0.25,"<.0001","Norwegian ",0.146981343878659,0.354447269233317,"rand","swu"
"9","Persian (12)","0.07 (0.02)",3.57,0.15,"0.0047","Persian ",NA,NA,"rand","swu"
"10","Portuguese (23)","0.07 (0.01)",4.91,0.2,"<.0001","Portuguese ",0.0879085251140093,0.31134096119869,"rand","swu"
"11","Spanish (30)","0.09 (0.01)",7.44,0.23,"<.0001","Spanish ",NA,NA,"rand","swu"
"12","Swedish (16)","0.14 (0.02)",7.87,0.32,"<.0001","Swedish ",0.217579543412054,0.413776396300995,"rand","swu"
"13","Tseltal (10)","0.14 (0.02)",6.66,0.31,"<.0001","Tseltal ",0.208060227493624,0.406880234386252,"rand","swu"
